logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,R,version,success,sol_time,obj_from_QPU_sol
./run_logs/quera/result_UDMIS058EXT_N70_W1.0_R0.1.orig_1700088460.607011.json,1700088460.607011,1700088517.525491,UDMIS058EXT,UDMIS,70,1.42,1.1,True,56.918479919433594,24
./run_logs/quera/result_UDMIS040EXT_N25_W1.0_R0.2.orig_1700089890.133624.json,1700089890.133624,1700089946.680487,UDMIS040EXT,UDMIS,25,1.42,1.1,True,56.546862840652466,9
./run_logs/quera/result_UDMIS044EXT_N30_W1.0_R0.2.orig_1700090983.811541.json,1700090983.811541,1700091041.307601,UDMIS044EXT,UDMIS,30,1.42,1.1,True,57.49605989456177,11
./run_logs/quera/result_UDMIS022EXT_N70_W1.0_R0.1.orig_1700088749.029182.json,1700088749.029182,1700088808.066279,UDMIS022EXT,UDMIS,70,1.25,1.1,True,59.03709697723389,32
./run_logs/quera/result_UDMIS100EXT_N90_W1.0_R0.2.orig_1700089325.771494.json,1700089325.771494,1700089383.323355,UDMIS100EXT,UDMIS,90,1.85,1.1,True,57.55186104774475,20
./run_logs/quera/result_UDMIS090EXT_N49_W1.0_R0.2.orig_1700091849.495866.json,1700091849.495866,1700091906.371192,UDMIS090EXT,UDMIS,49,1.85,1.1,True,56.87532591819763,12
./run_logs/quera/result_UDMIS037EXT_N15_W1.0_R0.3.orig_1700093334.454816.json,1700093334.454816,1700093392.421561,UDMIS037EXT,UDMIS,15,1.42,1.1,True,57.966744899749756,6
./run_logs/quera/result_UDMIS011EXT_N36_W1.0_R0.2.orig_1700089558.449161.json,1700089558.449161,1700089717.26172,UDMIS011EXT,UDMIS,36,1.25,1.1,True,158.81255888938904,17
./run_logs/quera/result_UDMIS043EXT_N30_W1.0_R0.2.orig_1700087592.607805.json,1700087592.607805,1700087649.877777,UDMIS043EXT,UDMIS,30,1.42,1.1,True,57.26997208595276,12
./run_logs/quera/result_UDMIS009EXT_N30_W1.0_R0.2.orig_1700087649.880423.json,1700087649.880423,1700087707.15556,UDMIS009EXT,UDMIS,30,1.25,1.1,True,57.275136947631836,14
./run_logs/quera/result_UDMIS107EXT_N120_W1.0_R0.2.orig_1700090522.34125.json,1700090522.34125,1700090580.224735,UDMIS107EXT,UDMIS,120,1.85,1.1,True,57.883485078811646,23
./run_logs/quera/result_UDMIS019EXT_N60_W1.0_R0.1.orig_1700092943.519672.json,1700092943.519672,1700093001.533818,UDMIS019EXT,UDMIS,60,1.25,1.1,True,58.01414608955383,25
./run_logs/quera/result_UDMIS064EXT_N90_W1.0_R0.1.orig_1700088691.100896.json,1700088691.100896,1700088749.025497,UDMIS064EXT,UDMIS,90,1.42,1.1,True,57.92460107803345,26
./run_logs/quera/result_UDMIS048EXT_N36_W1.0_R0.2.orig_1700091156.397846.json,1700091156.397846,1700091214.816253,UDMIS048EXT,UDMIS,36,1.42,1.1,True,58.41840696334839,12
./run_logs/quera/result_UDMIS042EXT_N25_W1.0_R0.2.orig_1700092540.708399.json,1700092540.708399,1700092598.245278,UDMIS042EXT,UDMIS,25,1.42,1.1,True,57.53687882423401,9
./run_logs/quera/result_UDMIS049EXT_N40_W1.0_R0.2.orig_1700088344.261726.json,1700088344.261726,1700088403.116466,UDMIS049EXT,UDMIS,40,1.42,1.1,True,58.854740142822266,15
./run_logs/quera/result_UDMIS092EXT_N60_W1.0_R0.2.orig_1700090869.006887.json,1700090869.006887,1700090925.21237,UDMIS092EXT,UDMIS,60,1.85,1.1,True,56.205482959747314,15
./run_logs/quera/result_UDMIS001EXT_N15_W1.0_R0.2.orig_1700091272.47529.json,1700091272.47529,1700091329.6183,UDMIS001EXT,UDMIS,15,1.25,1.1,True,57.14300990104675,7
./run_logs/quera/result_UDMIS055EXT_N60_W1.0_R0.2.orig_1700092309.689881.json,1700092309.689881,1700092366.106947,UDMIS055EXT,UDMIS,60,1.42,1.1,True,56.41706585884094,22
./run_logs/quera/result_UDMIS102EXT_N90_W1.0_R0.2.orig_1700090348.436176.json,1700090348.436176,1700090405.595097,UDMIS102EXT,UDMIS,90,1.85,1.1,True,57.158921003341675,20
./run_logs/quera/result_UDMIS095EXT_N70_W1.0_R0.2.orig_1700091792.432151.json,1700091792.432151,1700091849.492162,UDMIS095EXT,UDMIS,70,1.85,1.1,True,57.06001091003418,19
./run_logs/quera/result_UDMIS012EXT_N36_W1.0_R0.2.orig_1700088517.527098.json,1700088517.527098,1700088575.536947,UDMIS012EXT,UDMIS,36,1.25,1.1,True,58.009849071502686,16
./run_logs/quera/result_UDMIS032EXT_N100_W1.0_R0.1.orig_1700092884.554056.json,1700092884.554056,1700092943.518026,UDMIS032EXT,UDMIS,100,1.25,1.1,True,58.96397018432617,36
./run_logs/quera/result_UDMIS062EXT_N80_W1.0_R0.1.orig_1700091735.277287.json,1700091735.277287,1700091792.430267,UDMIS062EXT,UDMIS,80,1.42,1.1,True,57.15298008918762,23
./run_logs/quera/result_UDMIS9TG_N150_W1.0_R0.1.orig_1698264411.583354.json,1698264411.583354,1698264957.112613,UDMIS9TG,UDMIS,150,1.5,1.0,True,545.5292589664459,37
./run_logs/quera/result_UDMIS070EXT_N120_W1.0_R0.1.orig_1700091329.619164.json,1700091329.619164,1700091388.174685,UDMIS070EXT,UDMIS,120,1.42,1.1,True,58.55552101135254,33
./run_logs/quera/result_UDMIS039EXT_N15_W1.0_R0.3.orig_1700087476.484156.json,1700087476.484156,1700087533.841942,UDMIS039EXT,UDMIS,15,1.42,1.1,True,57.35778617858887,7
./run_logs/quera/result_UDMIS8TG_N80_W1.0_R0.1.orig_1698264160.978037.json,1698264160.978037,1698264411.092559,UDMIS8TG,UDMIS,80,1.5,1.0,True,250.11452198028564,31
./run_logs/quera/result_UDMIS068EXT_N100_W1.0_R0.1.orig_1700090405.59759.json,1700090405.59759,1700090462.951976,UDMIS068EXT,UDMIS,100,1.42,1.1,True,57.3543860912323,28
./run_logs/quera/result_UDMIS057EXT_N60_W1.0_R0.2.orig_1700089946.681391.json,1700089946.681391,1700090004.077932,UDMIS057EXT,UDMIS,60,1.42,1.1,True,57.39654088020325,18
./run_logs/quera/result_UDMIS083EXT_N36_W1.0_R0.3.orig_1700091388.181101.json,1700091388.181101,1700091445.27801,UDMIS083EXT,UDMIS,36,1.85,1.1,True,57.09690880775452,11
./run_logs/quera/result_UDMIS103EXT_N100_W1.0_R0.2.orig_1700090175.06003.json,1700090175.06003,1700090232.285929,UDMIS103EXT,UDMIS,100,1.85,1.1,True,57.22589898109436,21
./run_logs/quera/result_UDMIS004EXT_N25_W1.0_R0.2.orig_1700092366.108957.json,1700092366.108957,1700092423.907973,UDMIS004EXT,UDMIS,25,1.25,1.1,True,57.79901599884033,12
./run_logs/quera/result_UDMIS071EXT_N120_W1.0_R0.1.orig_1700091445.279954.json,1700091445.279954,1700091502.97354,UDMIS071EXT,UDMIS,120,1.42,1.1,True,57.693586111068726,31
./run_logs/quera/result_UDMIS108EXT_N120_W1.0_R0.2.orig_1700090004.080001.json,1700090004.080001,1700090061.417946,UDMIS108EXT,UDMIS,120,1.85,1.1,True,57.337944984436035,25
./run_logs/quera/result_UDMIS005EXT_N25_W1.0_R0.2.orig_1700089832.199296.json,1700089832.199296,1700089890.132728,UDMIS005EXT,UDMIS,25,1.25,1.1,True,57.93343210220337,12
